,epoch,train/eval,batch_size,loss,acc
0,0,train,32,5.278278827667236,0.0
0,0,train,32,5.278331756591797,0.0
0,0,train,32,5.277962684631348,0.0
0,0,train,32,5.277730941772461,0.0
0,0,train,32,5.2774338722229,3.125
0,0,train,32,5.2778496742248535,0.0
0,0,train,32,5.277888774871826,0.0
0,0,train,32,5.278420925140381,0.0
0,0,train,32,5.277225494384766,3.125
0,0,train,32,5.278518199920654,0.0
0,0,train,32,5.277761936187744,3.125
0,0,train,32,5.277189254760742,3.125
0,0,train,32,5.278378486633301,0.0
0,0,train,32,5.278097152709961,0.0
0,0,train,32,5.278877258300781,0.0
0,0,train,32,5.277804851531982,0.0
0,0,train,32,5.278667449951172,0.0
0,0,train,32,5.279209136962891,0.0
0,0,train,32,5.278461456298828,0.0
0,0,train,32,5.278017044067383,0.0
0,0,train,32,5.276681900024414,3.125
0,0,train,32,5.278417587280273,0.0
0,0,train,32,5.279241561889648,0.0
0,0,train,32,5.277829647064209,3.125
0,0,train,32,5.277271747589111,0.0
0,0,train,32,5.279196262359619,0.0
0,0,train,32,5.278411865234375,0.0
0,0,train,32,5.27714204788208,0.0
0,0,train,32,5.277481555938721,0.0
0,0,train,32,5.2774739265441895,3.125
0,0,train,32,5.271758079528809,6.25
0,0,train,32,5.27742862701416,3.125
0,0,train,32,5.277317047119141,0.0
0,0,train,32,5.2772650718688965,0.0
0,0,train,32,5.27540922164917,0.0
0,0,train,32,5.277050971984863,0.0
0,0,train,32,5.275533676147461,3.125
0,0,train,32,5.278358459472656,3.125
0,0,train,32,5.277731895446777,0.0
0,0,train,32,5.275780200958252,3.125
0,0,train,32,5.2765092849731445,3.125
0,0,train,32,5.276859760284424,0.0
0,0,train,32,5.27642297744751,3.125
0,0,train,32,5.278036117553711,0.0
0,0,train,32,5.276939868927002,3.125
0,0,train,32,5.278088569641113,0.0
0,0,train,32,5.274848937988281,9.375
0,0,train,32,5.277882099151611,0.0
0,0,train,32,5.279002666473389,0.0
0,0,train,32,5.278306484222412,3.125
0,0,train,32,5.27720308303833,0.0
0,0,train,32,5.276524543762207,0.0
0,0,train,32,5.274794101715088,0.0
0,0,train,32,5.272626876831055,9.375
0,0,train,32,5.277354717254639,0.0
0,0,train,32,5.276264667510986,0.0
0,0,train,32,5.277194023132324,3.125
0,0,train,32,5.277397155761719,3.125
0,0,train,32,5.271364688873291,3.125
0,0,train,32,5.2755937576293945,3.125
0,0,train,32,5.277896881103516,0.0
0,0,train,32,5.2769775390625,0.0
0,0,train,32,5.272997856140137,6.25
0,0,train,32,5.274360179901123,6.25
0,0,train,32,5.27872371673584,0.0
0,0,train,32,5.277444839477539,0.0
0,0,train,32,5.275651931762695,0.0
0,0,train,32,5.276359558105469,0.0
0,0,train,32,5.2748565673828125,3.125
0,0,train,32,5.278201103210449,0.0
0,0,train,32,5.276390552520752,3.125
0,0,train,32,5.275426387786865,3.125
0,0,train,32,5.276012420654297,0.0
0,0,train,32,5.27732515335083,0.0
0,0,train,32,5.274813652038574,3.125
0,0,train,32,5.2768025398254395,0.0
