,epoch,train/eval,batch_size,loss,acc,correct
0,0,train,32,171.6708526611328,0.0,0
0,0,train,32,171.684326171875,0.0,0
0,0,train,32,169.93191528320312,0.0,0
0,0,train,32,170.88790893554688,0.0,0
0,0,train,32,171.04933166503906,0.0,0
0,0,train,32,168.9704132080078,0.0,0
0,0,train,32,171.5739288330078,0.0,0
0,0,train,32,169.6573028564453,0.0,0
0,0,train,32,172.25115966796875,0.0,0
0,0,train,32,169.06495666503906,3.125,1
0,0,train,32,169.71029663085938,0.0,0
0,0,train,32,171.3748779296875,3.125,1
0,0,train,32,168.45046997070312,0.0,0
0,0,train,32,170.5732879638672,0.0,0
0,0,train,32,167.83006286621094,0.0,0
0,0,train,32,168.28466796875,0.0,0
0,0,train,32,169.20574951171875,0.0,0
0,0,train,32,170.06492614746094,0.0,0
0,0,train,32,170.37091064453125,0.0,0
0,0,train,32,170.32492065429688,0.0,0
0,0,train,32,169.18472290039062,0.0,0
0,0,train,32,170.7162628173828,0.0,0
0,0,train,32,171.9276580810547,0.0,0
0,0,train,32,169.82070922851562,0.0,0
0,0,train,32,168.92710876464844,0.0,0
0,0,train,32,169.9608917236328,0.0,0
0,0,train,32,171.57318115234375,0.0,0
0,0,train,32,167.02296447753906,3.125,1
0,0,train,32,168.71737670898438,0.0,0
0,0,train,32,169.6632537841797,0.0,0
0,0,train,32,172.12619018554688,0.0,0
0,0,train,32,166.8928680419922,0.0,0
0,0,train,32,167.87554931640625,0.0,0
0,0,train,32,170.90757751464844,0.0,0
0,0,train,32,171.09799194335938,0.0,0
0,0,train,32,168.4136199951172,0.0,0
0,0,train,32,168.04644775390625,0.0,0
0,0,train,32,168.74156188964844,0.0,0
0,0,train,32,168.97882080078125,0.0,0
0,0,train,32,171.11032104492188,0.0,0
0,0,train,32,168.9005889892578,0.0,0
0,0,train,32,170.03099060058594,0.0,0
0,0,train,32,165.3694305419922,0.0,0
0,0,train,32,169.98568725585938,0.0,0
0,0,train,32,169.73809814453125,0.0,0
0,0,train,32,169.93679809570312,0.0,0
0,0,train,32,170.42330932617188,0.0,0
0,0,train,32,170.42161560058594,0.0,0
0,0,train,32,169.3028564453125,0.0,0
0,0,train,32,172.199951171875,0.0,0
0,0,train,32,169.03343200683594,0.0,0
0,0,train,32,173.07177734375,0.0,0
0,0,train,32,171.63287353515625,0.0,0
0,0,train,32,167.13865661621094,0.0,0
0,0,train,32,168.77098083496094,0.0,0
0,0,train,32,169.59967041015625,0.0,0
0,0,train,32,170.00161743164062,0.0,0
0,0,train,32,171.4985809326172,0.0,0
0,0,train,32,168.21792602539062,0.0,0
0,0,train,32,169.95713806152344,0.0,0
0,0,train,32,170.79855346679688,0.0,0
0,0,train,32,170.82794189453125,0.0,0
0,0,train,32,170.41310119628906,0.0,0
0,0,train,32,169.67221069335938,0.0,0
0,0,train,32,168.65249633789062,3.125,1
0,0,train,32,169.94664001464844,0.0,0
0,0,train,32,167.4730224609375,0.0,0
0,0,train,32,168.35418701171875,3.125,1
0,0,train,32,171.6163330078125,0.0,0
0,0,train,32,166.58497619628906,0.0,0
0,0,train,32,173.50863647460938,0.0,0
0,0,train,32,168.4840850830078,0.0,0
0,0,train,32,170.4190673828125,0.0,0
0,0,train,32,170.72866821289062,0.0,0
0,0,train,32,166.5750732421875,6.25,2
0,0,train,32,167.21231079101562,0.0,0
0,0,train,32,169.64511108398438,3.125,1
0,0,train,32,169.1224365234375,0.0,0
0,0,train,32,169.4554901123047,0.0,0
0,0,train,32,170.1307830810547,0.0,0
0,0,train,32,168.8057098388672,0.0,0
0,0,train,32,171.3700408935547,0.0,0
0,0,train,32,166.50563049316406,3.125,1
0,0,train,32,170.86009216308594,0.0,0
0,0,train,32,166.87603759765625,6.25,2
0,0,train,32,169.5027618408203,3.125,1
0,0,train,32,171.1043701171875,0.0,0
0,0,train,32,169.68812561035156,0.0,0
0,0,train,32,169.76229858398438,3.125,1
0,0,train,32,167.50100708007812,0.0,0
0,0,train,32,168.71957397460938,3.125,1
0,0,train,32,167.94992065429688,0.0,0
0,0,train,32,167.38046264648438,3.125,1
0,0,train,32,168.90548706054688,3.125,1
0,0,train,32,168.3282470703125,0.0,0
0,0,train,32,168.31016540527344,0.0,0
0,0,train,32,167.9777374267578,0.0,0
0,0,train,32,170.4493865966797,0.0,0
0,0,train,32,169.5374755859375,0.0,0
0,0,train,32,168.9211883544922,0.0,0
0,0,train,32,174.7593536376953,0.0,0
0,0,train,32,167.36395263671875,0.0,0
0,0,train,32,169.98204040527344,0.0,0
0,0,train,32,169.97018432617188,0.0,0
0,0,train,32,171.77247619628906,0.0,0
0,0,train,32,167.69219970703125,0.0,0
0,0,train,32,168.71505737304688,0.0,0
0,0,train,32,171.7378692626953,6.25,2
0,0,train,32,170.06056213378906,0.0,0
0,0,train,32,169.7537841796875,0.0,0
0,0,train,32,169.07940673828125,0.0,0
0,0,train,32,168.27716064453125,0.0,0
0,0,train,32,169.84335327148438,0.0,0
0,0,train,32,169.6063232421875,0.0,0
0,0,train,32,168.3473358154297,0.0,0
0,0,train,32,168.4398651123047,0.0,0
0,0,train,32,170.3408660888672,0.0,0
0,0,train,32,169.3415069580078,0.0,0
0,0,train,32,170.97206115722656,0.0,0
0,0,train,32,167.07972717285156,0.0,0
0,0,train,32,167.27403259277344,0.0,0
0,0,train,32,167.00535583496094,0.0,0
0,0,train,32,169.34591674804688,0.0,0
0,0,train,32,169.1359405517578,3.125,1
0,0,train,32,169.40707397460938,0.0,0
0,0,train,32,170.56781005859375,0.0,0
0,0,train,32,170.1749267578125,3.125,1
0,0,train,32,167.6705780029297,0.0,0
0,0,train,32,169.40956115722656,0.0,0
0,0,train,32,168.42633056640625,0.0,0
0,0,train,32,167.8733673095703,0.0,0
0,0,train,32,166.3823699951172,0.0,0
0,0,train,32,169.49362182617188,0.0,0
0,0,train,32,169.42893981933594,0.0,0
0,0,train,32,168.5513458251953,0.0,0
0,0,train,32,170.41184997558594,0.0,0
0,0,train,32,170.23028564453125,0.0,0
0,0,train,32,169.08827209472656,3.125,1
0,0,train,32,168.79171752929688,0.0,0
0,0,train,32,170.47210693359375,0.0,0
0,0,train,32,167.44375610351562,0.0,0
0,0,train,32,170.25607299804688,0.0,0
0,0,train,32,168.56089782714844,0.0,0
0,0,train,32,168.95726013183594,0.0,0
0,0,train,32,168.0770721435547,0.0,0
0,0,train,32,168.26210021972656,0.0,0
0,0,train,32,168.3008270263672,0.0,0
0,0,train,32,168.75592041015625,3.125,1
0,0,train,32,168.00540161132812,3.125,1
0,0,train,32,165.36622619628906,6.25,2
0,0,train,32,169.5806427001953,0.0,0
0,0,train,32,169.5051727294922,0.0,0
0,0,train,32,169.89906311035156,0.0,0
0,0,train,32,168.10157775878906,0.0,0
0,0,train,32,167.32818603515625,0.0,0
0,0,train,32,168.83224487304688,0.0,0
0,0,train,32,167.99180603027344,0.0,0
0,0,train,32,170.31797790527344,0.0,0
0,0,train,32,170.75115966796875,3.125,1
0,0,train,32,168.5472412109375,0.0,0
0,0,train,32,166.94406127929688,3.125,1
0,0,train,32,171.2991943359375,3.125,1
0,0,train,32,169.26937866210938,0.0,0
0,0,train,32,168.15640258789062,0.0,0
0,0,train,32,167.9677276611328,0.0,0
0,0,train,32,165.1446075439453,0.0,0
0,0,train,32,168.7048797607422,0.0,0
0,0,train,32,165.5088653564453,0.0,0
0,0,train,32,170.40838623046875,0.0,0
0,0,train,32,169.10202026367188,3.125,1
0,0,train,32,170.0839385986328,0.0,0
0,0,train,32,167.54806518554688,0.0,0
0,0,train,32,168.46368408203125,3.125,1
0,0,train,32,166.36660766601562,3.125,1
0,0,train,32,165.1968536376953,3.125,1
0,0,train,32,169.2257080078125,0.0,0
0,0,train,32,169.39041137695312,0.0,0
0,0,train,32,169.81170654296875,0.0,0
0,0,train,32,168.7369842529297,0.0,0
0,0,train,32,168.80389404296875,0.0,0
0,0,train,32,166.5721893310547,3.125,1
0,0,train,32,167.86143493652344,0.0,0
0,0,train,32,169.5342559814453,0.0,0
0,0,train,32,169.56719970703125,0.0,0
0,0,train,32,166.31771850585938,6.25,2
0,0,train,32,168.29331970214844,3.125,1
0,0,train,32,166.38906860351562,0.0,0
0,0,train,32,170.60731506347656,0.0,0
0,0,train,32,169.0940399169922,0.0,0
0,0,train,32,166.88827514648438,3.125,1
0,0,train,32,165.96678161621094,3.125,1
0,0,train,32,167.22686767578125,6.25,2
0,0,train,32,167.84112548828125,0.0,0
0,0,train,32,168.13954162597656,0.0,0
0,0,train,32,169.98748779296875,0.0,0
0,0,train,32,169.15945434570312,0.0,0
0,0,train,32,167.45462036132812,0.0,0
0,0,train,32,166.5309295654297,0.0,0
0,0,train,32,166.0703887939453,3.125,1
0,0,train,32,165.7608642578125,3.125,1
0,0,train,32,169.806640625,0.0,0
0,0,train,32,169.9349822998047,0.0,0
0,0,train,32,168.32952880859375,0.0,0
0,0,train,5,26.150219440460205,0.0,0
0,0,val,32,166.16049194335938,0.0,0
0,0,val,32,168.4993438720703,0.0,0
0,0,val,32,169.074951171875,0.0,0
0,0,val,32,168.8316192626953,3.125,1
0,0,val,32,166.7786102294922,0.0,0
0,0,val,32,167.53515625,0.0,0
0,0,val,32,166.19395446777344,0.0,0
0,0,val,32,169.16647338867188,0.0,0
0,0,val,32,167.04078674316406,0.0,0
0,0,val,32,169.23281860351562,0.0,0
0,0,val,32,168.4563446044922,0.0,0
0,0,val,32,168.60708618164062,0.0,0
0,0,val,32,167.9385986328125,3.125,1
0,0,val,32,166.51199340820312,0.0,0
0,0,val,32,169.0461883544922,0.0,0
0,0,val,32,166.83750915527344,3.125,1
0,0,val,32,168.6114959716797,0.0,0
0,0,val,32,169.0941925048828,0.0,0
0,0,val,32,168.6037139892578,3.125,1
0,0,val,32,165.95326232910156,0.0,0
0,0,val,32,167.68641662597656,0.0,0
0,0,val,32,166.75221252441406,0.0,0
0,0,val,32,167.75662231445312,0.0,0
0,0,val,32,169.4266357421875,0.0,0
0,0,val,32,167.40304565429688,0.0,0
0,0,val,32,166.52731323242188,3.125,1
0,0,val,32,167.34486389160156,0.0,0
0,0,val,32,167.4810791015625,0.0,0
0,0,val,32,169.5526885986328,3.125,1
0,0,val,32,167.5541534423828,0.0,0
0,0,val,32,166.8909912109375,0.0,0
0,0,val,32,167.22132873535156,0.0,0
0,0,val,32,168.05300903320312,0.0,0
0,0,val,32,169.35382080078125,0.0,0
0,0,val,32,169.09072875976562,3.125,1
0,0,val,32,169.18624877929688,0.0,0
0,0,val,32,164.45217895507812,3.125,1
0,0,val,32,168.9281005859375,3.125,1
0,0,val,32,166.754150390625,0.0,0
0,0,val,32,165.62753295898438,0.0,0
0,0,val,32,168.52426147460938,0.0,0
0,0,val,32,169.25228881835938,0.0,0
0,0,val,32,167.50479125976562,3.125,1
0,0,val,32,168.17852783203125,0.0,0
0,0,val,32,169.12884521484375,3.125,1
0,0,val,32,168.23797607421875,6.25,2
0,0,val,32,164.8832550048828,6.25,2
0,0,val,32,167.70477294921875,0.0,0
0,0,val,32,165.91355895996094,0.0,0
0,0,val,32,165.52255249023438,0.0,0
0,0,val,25,132.63436555862427,0.0,0
0,1,train,32,164.0496368408203,6.25,2
0,1,train,32,167.67564392089844,0.0,0
0,1,train,32,165.1432342529297,0.0,0
0,1,train,32,164.47950744628906,0.0,0
0,1,train,32,168.9833984375,0.0,0
0,1,train,32,165.2333526611328,3.125,1
0,1,train,32,168.07960510253906,0.0,0
0,1,train,32,164.9151153564453,0.0,0
0,1,train,32,169.24417114257812,0.0,0
0,1,train,32,165.1686248779297,0.0,0
0,1,train,32,164.91586303710938,6.25,2
0,1,train,32,169.4086151123047,0.0,0
0,1,train,32,167.72842407226562,0.0,0
0,1,train,32,166.1980743408203,0.0,0
0,1,train,32,165.63319396972656,0.0,0
0,1,train,32,167.43450927734375,0.0,0
0,1,train,32,164.10623168945312,6.25,2
0,1,train,32,165.58056640625,6.25,2
0,1,train,32,168.59425354003906,6.25,2
0,1,train,32,167.16668701171875,0.0,0
0,1,train,32,167.30455017089844,3.125,1
0,1,train,32,164.6875457763672,9.375,3
