,epoch,train/eval,batch_size,loss,acc,correct
0,0,train,32,171.9247283935547,0.0,0
0,0,train,32,168.23831176757812,0.0,0
0,0,train,32,170.6204376220703,0.0,0
0,0,train,32,167.38063049316406,0.0,0
0,0,train,32,167.38345336914062,3.125,1
0,0,train,32,168.77005004882812,3.125,1
0,0,train,32,171.1066131591797,6.25,2
0,0,train,32,171.42213439941406,3.125,1
0,0,train,32,172.8946533203125,0.0,0
0,0,train,32,176.04933166503906,0.0,0
0,0,train,32,175.1265869140625,0.0,0
0,0,train,32,175.00955200195312,0.0,0
0,0,train,32,180.91055297851562,0.0,0
0,0,train,32,174.24578857421875,0.0,0
0,0,train,32,172.1084442138672,0.0,0
0,0,train,32,176.72433471679688,3.125,1
0,0,train,32,175.39358520507812,0.0,0
0,0,train,32,170.09861755371094,0.0,0
0,0,train,32,181.86241149902344,0.0,0
0,0,train,32,174.52096557617188,3.125,1
0,0,train,32,174.76168823242188,0.0,0
0,0,train,32,178.2291259765625,0.0,0
0,0,train,32,172.198974609375,0.0,0
0,0,train,32,170.55551147460938,3.125,1
0,0,train,32,175.91848754882812,0.0,0
0,0,train,32,170.49412536621094,3.125,1
0,0,train,32,172.6993408203125,3.125,1
0,0,train,32,180.61244201660156,0.0,0
0,0,train,32,171.9743194580078,0.0,0
0,0,train,32,174.26541137695312,3.125,1
0,0,train,32,175.03688049316406,0.0,0
0,0,train,32,176.7199249267578,0.0,0
0,0,train,32,175.3652801513672,0.0,0
0,0,train,32,176.19456481933594,3.125,1
0,0,train,32,174.38888549804688,0.0,0
0,0,train,32,175.77635192871094,0.0,0
0,0,train,32,170.84178161621094,0.0,0
0,0,train,32,163.64703369140625,0.0,0
0,0,train,32,171.36289978027344,0.0,0
0,0,train,32,168.02676391601562,3.125,1
0,0,train,32,165.19354248046875,3.125,1
0,0,train,32,169.47027587890625,3.125,1
0,0,train,32,169.31076049804688,0.0,0
0,0,train,32,171.05874633789062,0.0,0
0,0,train,32,168.02037048339844,0.0,0
0,0,train,32,171.9980010986328,3.125,1
0,0,train,32,172.79541015625,3.125,1
0,0,train,32,172.20697021484375,0.0,0
0,0,train,32,169.3447723388672,3.125,1
0,0,train,32,172.63043212890625,3.125,1
0,0,train,32,165.94387817382812,6.25,2
0,0,train,32,168.73684692382812,0.0,0
0,0,train,32,169.61338806152344,0.0,0
0,0,train,32,167.55029296875,0.0,0
0,0,train,32,162.68356323242188,6.25,2
0,0,train,32,165.81881713867188,0.0,0
0,0,train,32,169.70533752441406,0.0,0
0,0,train,32,169.01806640625,3.125,1
0,0,train,32,168.08836364746094,0.0,0
0,0,train,32,169.76002502441406,3.125,1
0,0,train,32,173.4824676513672,0.0,0
0,0,train,32,170.26588439941406,3.125,1
0,0,train,32,168.01657104492188,3.125,1
0,0,train,32,165.73695373535156,9.375,3
0,0,train,32,167.0885009765625,0.0,0
0,0,train,32,173.5216522216797,0.0,0
0,0,train,32,166.9005126953125,3.125,1
0,0,train,32,166.39175415039062,0.0,0
0,0,train,32,166.0305938720703,0.0,0
0,0,train,32,171.3227081298828,6.25,2
0,0,train,32,164.57339477539062,0.0,0
0,0,train,32,168.01551818847656,3.125,1
0,0,train,32,170.93536376953125,0.0,0
0,0,train,32,166.37716674804688,0.0,0
0,0,train,32,165.51364135742188,0.0,0
0,0,train,32,167.53530883789062,0.0,0
0,0,train,32,166.51840209960938,6.25,2
0,0,train,32,169.50430297851562,0.0,0
0,0,train,32,167.53335571289062,0.0,0
0,0,train,32,167.1605987548828,0.0,0
0,0,train,32,152.9976806640625,15.625,5
0,0,train,32,172.70404052734375,0.0,0
0,0,train,32,165.91500854492188,3.125,1
0,0,train,32,170.24900817871094,3.125,1
0,0,train,32,163.81959533691406,0.0,0
0,0,train,32,166.5955810546875,6.25,2
0,0,train,32,162.8389434814453,0.0,0
0,0,train,32,163.4285888671875,3.125,1
0,0,train,32,166.80523681640625,6.25,2
0,0,train,32,168.87689208984375,0.0,0
0,0,train,32,161.62583923339844,3.125,1
0,0,train,32,163.0995330810547,3.125,1
0,0,train,32,164.64785766601562,3.125,1
0,0,train,32,165.90322875976562,6.25,2
0,0,train,32,164.14161682128906,6.25,2
0,0,train,32,168.4681854248047,6.25,2
0,0,train,32,168.5498809814453,3.125,1
0,0,train,32,167.73800659179688,3.125,1
0,0,train,32,163.05421447753906,0.0,0
0,0,train,32,163.85557556152344,3.125,1
0,0,train,32,163.938232421875,6.25,2
0,0,train,32,163.94384765625,3.125,1
0,0,train,32,163.19940185546875,0.0,0
0,0,train,32,168.8641815185547,0.0,0
0,0,train,32,170.57858276367188,3.125,1
0,0,train,32,162.40301513671875,0.0,0
0,0,train,32,166.0789031982422,0.0,0
0,0,train,32,160.57110595703125,0.0,0
0,0,train,32,167.2529754638672,0.0,0
0,0,train,32,165.62649536132812,6.25,2
0,0,train,32,163.42218017578125,3.125,1
0,0,train,32,160.83737182617188,6.25,2
0,0,train,32,163.2565155029297,0.0,0
0,0,train,32,161.27566528320312,3.125,1
0,0,train,32,162.3082733154297,3.125,1
0,0,train,32,168.39915466308594,0.0,0
0,0,train,32,166.09213256835938,3.125,1
0,0,train,32,159.06796264648438,0.0,0
0,0,train,32,158.85311889648438,9.375,3
0,0,train,32,158.77972412109375,6.25,2
0,0,train,32,161.9241180419922,6.25,2
0,0,train,32,162.25015258789062,0.0,0
0,0,train,32,162.30120849609375,9.375,3
0,0,train,32,159.6603546142578,3.125,1
0,0,train,32,161.3490447998047,9.375,3
0,0,train,32,164.4558563232422,0.0,0
0,0,train,32,160.954345703125,3.125,1
0,0,train,32,162.5209197998047,0.0,0
0,0,train,32,163.28387451171875,3.125,1
0,0,train,32,161.1219024658203,0.0,0
0,0,train,32,164.7552947998047,3.125,1
0,0,train,32,166.57525634765625,3.125,1
0,0,train,32,167.2871856689453,6.25,2
0,0,train,32,159.68679809570312,3.125,1
0,0,train,32,162.36526489257812,0.0,0
0,0,train,32,161.25534057617188,3.125,1
0,0,train,32,162.51405334472656,3.125,1
0,0,train,32,159.6979522705078,0.0,0
0,0,train,32,163.37359619140625,0.0,0
0,0,train,32,161.2591552734375,15.625,5
0,0,train,32,159.48629760742188,0.0,0
0,0,train,32,160.8278350830078,6.25,2
0,0,train,32,158.08180236816406,0.0,0
0,0,train,32,158.38555908203125,0.0,0
0,0,train,32,161.70343017578125,0.0,0
0,0,train,32,163.93170166015625,3.125,1
0,0,train,32,161.57498168945312,3.125,1
0,0,train,32,164.66346740722656,0.0,0
0,0,train,32,160.68057250976562,0.0,0
0,0,train,32,160.9154052734375,6.25,2
0,0,train,32,157.349609375,6.25,2
0,0,train,32,163.07908630371094,3.125,1
0,0,train,32,165.61570739746094,6.25,2
0,0,train,32,160.0218505859375,6.25,2
0,0,train,32,158.20176696777344,6.25,2
0,0,train,32,160.11111450195312,6.25,2
0,0,train,32,158.92938232421875,6.25,2
0,0,train,32,158.56781005859375,3.125,1
0,0,train,32,157.54217529296875,6.25,2
0,0,train,32,163.6938934326172,9.375,3
0,0,train,32,169.34210205078125,3.125,1
0,0,train,32,158.09848022460938,6.25,2
0,0,train,32,166.235107421875,3.125,1
0,0,train,32,158.7892303466797,3.125,1
0,0,train,32,153.38172912597656,18.75,6
0,0,train,32,156.27565002441406,3.125,1
0,0,train,32,162.51976013183594,6.25,2
0,0,train,32,162.5426788330078,3.125,1
0,0,train,32,163.03787231445312,0.0,0
0,0,train,32,163.5970001220703,0.0,0
0,0,train,32,159.8758087158203,9.375,3
0,0,train,32,158.96714782714844,12.5,4
0,0,train,32,161.77378845214844,3.125,1
0,0,train,32,155.35089111328125,9.375,3
0,0,train,32,157.163818359375,3.125,1
0,0,train,32,162.179443359375,0.0,0
0,0,train,32,164.35765075683594,0.0,0
0,0,train,32,161.47401428222656,6.25,2
0,0,train,32,164.68429565429688,3.125,1
0,0,train,32,161.4501495361328,0.0,0
0,0,train,32,162.51002502441406,6.25,2
0,0,train,32,163.12255859375,3.125,1
0,0,train,32,161.2740020751953,9.375,3
0,0,train,32,154.40933227539062,6.25,2
0,0,train,32,157.44236755371094,0.0,0
0,0,train,32,158.37725830078125,6.25,2
0,0,train,32,160.88873291015625,3.125,1
0,0,train,32,151.81314086914062,12.5,4
0,0,train,32,159.04495239257812,9.375,3
0,0,train,32,160.31210327148438,6.25,2
0,0,train,32,156.04827880859375,15.625,5
0,0,train,32,160.32720947265625,0.0,0
0,0,train,32,158.6434326171875,3.125,1
0,0,train,32,159.88548278808594,3.125,1
0,0,train,32,158.95970153808594,0.0,0
0,0,train,32,153.88821411132812,15.625,5
0,0,train,32,156.09140014648438,0.0,0
0,0,train,32,161.04998779296875,9.375,3
0,0,train,32,153.81951904296875,12.5,4
0,0,train,32,157.7251434326172,0.0,0
0,0,train,32,154.8600311279297,6.25,2
0,0,train,32,157.80702209472656,3.125,1
0,0,train,32,151.36572265625,9.375,3
0,0,train,5,27.176718711853027,0.0,0
0,0,val,32,147.57110595703125,15.625,5
0,0,val,32,158.39279174804688,0.0,0
0,0,val,32,155.00167846679688,9.375,3
0,0,val,32,157.5428466796875,3.125,1
0,0,val,32,153.65658569335938,6.25,2
0,0,val,32,159.32467651367188,6.25,2
0,0,val,32,157.55606079101562,0.0,0
0,0,val,32,156.6153564453125,3.125,1
0,0,val,32,148.5680389404297,9.375,3
0,0,val,32,156.2827606201172,6.25,2
0,0,val,32,163.7242889404297,6.25,2
0,0,val,32,155.62265014648438,6.25,2
0,0,val,32,161.022216796875,6.25,2
0,0,val,32,159.8809051513672,0.0,0
0,0,val,32,163.8468017578125,0.0,0
0,0,val,32,161.00302124023438,6.25,2
0,0,val,32,153.48159790039062,12.5,4
0,0,val,32,158.83314514160156,6.25,2
0,0,val,32,155.9447021484375,9.375,3
0,0,val,32,158.3673095703125,0.0,0
0,0,val,32,158.14459228515625,3.125,1
0,0,val,32,147.98597717285156,12.5,4
0,0,val,32,160.90061950683594,3.125,1
0,0,val,32,152.6278839111328,6.25,2
0,0,val,32,157.1317596435547,3.125,1
0,0,val,32,163.65655517578125,3.125,1
0,0,val,32,158.43666076660156,3.125,1
0,0,val,32,166.3948516845703,0.0,0
0,0,val,32,155.7740478515625,12.5,4
0,0,val,32,149.50637817382812,9.375,3
0,0,val,32,156.60935974121094,0.0,0
0,0,val,32,152.12315368652344,9.375,3
0,0,val,32,164.95797729492188,0.0,0
0,0,val,32,158.25643920898438,9.375,3
0,0,val,32,151.34844970703125,3.125,1
0,0,val,32,154.6814727783203,6.25,2
0,0,val,32,166.01063537597656,0.0,0
0,0,val,32,159.70095825195312,6.25,2
0,0,val,32,160.12950134277344,9.375,3
0,0,val,32,165.18743896484375,0.0,0
0,0,val,32,157.7675018310547,6.25,2
0,0,val,32,155.00579833984375,0.0,0
0,0,val,32,156.4915008544922,6.25,2
0,0,val,32,156.9959716796875,3.125,1
0,0,val,32,160.93589782714844,3.125,1
0,0,val,32,157.0396728515625,3.125,1
0,0,val,32,158.1223602294922,6.25,2
0,0,val,32,154.7171173095703,3.125,1
0,0,val,32,156.81849670410156,9.375,3
0,0,val,32,153.86199951171875,9.375,3
0,0,val,25,117.85633563995361,6.25,2
0,1,train,32,147.72296142578125,12.5,4
0,1,train,32,148.24081420898438,12.5,4
0,1,train,32,154.4755859375,9.375,3
0,1,train,32,147.8788604736328,15.625,5
0,1,train,32,149.92349243164062,6.25,2
0,1,train,32,139.29791259765625,21.875,7
0,1,train,32,145.8391876220703,12.5,4
0,1,train,32,149.5166015625,15.625,5
0,1,train,32,149.70916748046875,12.5,4
0,1,train,32,150.000732421875,12.5,4
0,1,train,32,151.79437255859375,9.375,3
0,1,train,32,143.78472900390625,9.375,3
0,1,train,32,143.04808044433594,15.625,5
0,1,train,32,151.26800537109375,9.375,3
0,1,train,32,149.10313415527344,9.375,3
0,1,train,32,151.7076873779297,9.375,3
0,1,train,32,147.91973876953125,15.625,5
0,1,train,32,154.7965087890625,3.125,1
0,1,train,32,140.01942443847656,25.0,8
0,1,train,32,142.2115020751953,12.5,4
0,1,train,32,149.474609375,21.875,7
0,1,train,32,152.3000030517578,3.125,1
0,1,train,32,142.45742797851562,15.625,5
0,1,train,32,148.69970703125,9.375,3
0,1,train,32,151.07138061523438,18.75,6
0,1,train,32,147.84764099121094,18.75,6
0,1,train,32,141.24102783203125,12.5,4
0,1,train,32,148.57933044433594,15.625,5
0,1,train,32,157.52688598632812,3.125,1
0,1,train,32,152.50143432617188,21.875,7
0,1,train,32,146.8826446533203,9.375,3
0,1,train,32,147.83111572265625,12.5,4
0,1,train,32,141.58242797851562,18.75,6
0,1,train,32,140.21688842773438,15.625,5
0,1,train,32,144.70289611816406,9.375,3
0,1,train,32,145.57492065429688,9.375,3
0,1,train,32,150.32260131835938,6.25,2
0,1,train,32,148.9004364013672,9.375,3
0,1,train,32,154.41152954101562,9.375,3
0,1,train,32,148.3780975341797,3.125,1
0,1,train,32,151.7041015625,18.75,6
0,1,train,32,151.24603271484375,6.25,2
0,1,train,32,148.18179321289062,3.125,1
0,1,train,32,149.66665649414062,6.25,2
0,1,train,32,147.72555541992188,9.375,3
0,1,train,32,149.54856872558594,9.375,3
0,1,train,32,151.8920440673828,6.25,2
0,1,train,32,146.00643920898438,15.625,5
0,1,train,32,143.7956085205078,21.875,7
0,1,train,32,144.1949462890625,12.5,4
0,1,train,32,144.7612762451172,9.375,3
0,1,train,32,146.447998046875,25.0,8
0,1,train,32,142.35205078125,18.75,6
0,1,train,32,146.15301513671875,15.625,5
0,1,train,32,150.071044921875,12.5,4
0,1,train,32,151.9671173095703,6.25,2
0,1,train,32,143.3787078857422,18.75,6
0,1,train,32,157.39828491210938,9.375,3
0,1,train,32,150.65777587890625,12.5,4
0,1,train,32,149.26266479492188,12.5,4
0,1,train,32,146.8345947265625,9.375,3
0,1,train,32,155.3866729736328,3.125,1
0,1,train,32,155.56117248535156,0.0,0
0,1,train,32,155.02273559570312,15.625,5
0,1,train,32,148.27989196777344,12.5,4
0,1,train,32,141.91900634765625,18.75,6
0,1,train,32,148.46615600585938,12.5,4
0,1,train,32,143.95278930664062,18.75,6
0,1,train,32,144.58566284179688,6.25,2
0,1,train,32,135.9617919921875,21.875,7
0,1,train,32,148.8859100341797,12.5,4
0,1,train,32,147.12344360351562,15.625,5
0,1,train,32,146.1856231689453,6.25,2
0,1,train,32,149.87240600585938,3.125,1
0,1,train,32,148.2516632080078,9.375,3
0,1,train,32,144.38380432128906,9.375,3
0,1,train,32,141.5525360107422,6.25,2
0,1,train,32,135.4626007080078,21.875,7
0,1,train,32,155.37237548828125,9.375,3
0,1,train,32,137.58401489257812,12.5,4
0,1,train,32,150.6480712890625,9.375,3
0,1,train,32,153.28317260742188,12.5,4
0,1,train,32,142.9605255126953,6.25,2
